"","ENSG00000018625.15","ENSG00000034971.17","ENSG00000077157.22","ENSG00000077616.11","ENSG00000104415.14","ENSG00000123500.10","ENSG00000133800.9","ENSG00000145321.13","ENSG00000162494.6","ENSG00000163815.6","ENSG00000167434.10","ENSG00000171819.5","ENSG00000182492.16","ENSG00000185271.9","ENSG00000198848.13","ENSG00000226005.5","ENSG00000228162.1","ENSG00000228222.1","ENSG00000228868.3","ENSG00000229558.2","ENSG00000234648.1","ENSG00000244734.4","ENSG00000250572.1","ENSG00000251325.1","ENSG00000257766.1","ENSG00000260102.2","ENSG00000263709.1","ENSG00000266964.6","ENSG00000267603.1","ENSG00000277954.1","ENSG00000282840.1","ENSG00000286523.1","ENSG00000287666.1","group"
"TCGA-GM-A2DL-01A-11R-A18M-07",8.4502082985324,9.0498033729659,11.1349896661654,6.29633496714654,11.607110647048,15.2580452683929,8.22120629956296,3.3071450089029,4.02503287778205,8.71804048758342,7.81063152249194,4.02503287778205,16.2261520857418,4.70272622309576,10.4926186217445,3.3071450089029,3.3071450089029,3.3071450089029,4.02503287778205,3.3071450089029,7.91918344920316,8.72659097015389,3.81735874276533,3.3071450089029,3.3071450089029,4.52678633875766,3.3071450089029,3.81735874276533,4.42574151320683,6.4508202848165,3.81735874276533,3.3071450089029,3.81735874276533,"Tumor"
"TCGA-AC-A2QI-01A-12R-A19W-07",7.58448606886509,3.3071450089029,11.3670713644634,6.27043091998997,11.1200182086314,13.6138058951929,7.53957516166562,3.3071450089029,3.3071450089029,7.73430137066129,3.72548558623416,4.85738691003874,16.0258870311134,4.70596165766851,8.75741868829179,3.72548558623416,3.72548558623416,3.3071450089029,3.3071450089029,3.72548558623416,5.60876656455556,7.46603094818976,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.72548558623416,3.72548558623416,3.72548558623416,5.22044612993703,4.23004660183993,3.3071450089029,3.3071450089029,"Tumor"
"TCGA-A8-A06R-01A-11R-A00Z-07",4.37368971757581,3.3071450089029,10.6573466312548,6.62929531316468,11.4276735417036,14.8466377941356,6.0538719158916,3.3071450089029,3.3071450089029,6.9837929588048,3.75079309050481,4.78463098957678,15.8238001518311,4.59967607953457,10.0072279574077,3.93213453934433,3.3071450089029,3.3071450089029,3.3071450089029,4.59967607953457,5.96740642291601,6.11533998701287,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,6.45196122489288,3.3071450089029,3.3071450089029,3.3071450089029,"Tumor"
"TCGA-EW-A1PD-01A-11R-A144-07",8.55161685441231,4.0408087795394,11.6509421539188,5.90711987190556,10.6698278893879,13.6540685592268,7.86396727810309,3.3071450089029,4.15136823780867,7.96322363560304,5.10360233063928,4.41269983469902,16.1317422837157,5.32244355740987,8.84498223242041,4.33409914882763,4.15136823780867,3.73374909302088,3.90829624065484,4.0408087795394,7.55768415575501,8.33873179294481,3.3071450089029,3.73374909302088,3.3071450089029,4.15136823780867,3.73374909302088,3.73374909302088,4.24778955349656,5.99069612846488,4.15136823780867,3.90829624065484,4.0408087795394,"Tumor"
"TCGA-AO-A12D-01A-11R-A115-07",6.49825819180835,3.3071450089029,12.1577917707264,6.67306781207484,11.5763458381357,14.080443273499,7.01267864369176,3.3071450089029,3.3071450089029,7.05519903272841,3.3071450089029,4.19186500711728,15.7459200963472,4.32365684128217,9.86881443813916,4.19186500711728,3.3071450089029,3.3071450089029,3.3071450089029,4.03320182302707,7.66998960697543,6.63604726875717,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.82322383284581,3.3071450089029,3.3071450089029,6.34551006332092,3.3071450089029,3.3071450089029,3.82322383284581,"Tumor"
"TCGA-AR-A24N-01A-11R-A169-07",7.13921552093477,4.00240123515769,11.817835395215,5.85664233474984,11.8720603229741,14.3714760349132,5.97184524381459,3.3071450089029,3.3071450089029,6.28372271765025,3.3071450089029,5.01773295398641,15.1444472471122,5.01773295398641,8.15906443452933,3.3071450089029,3.3071450089029,3.3071450089029,3.87662414214534,3.71112584234156,7.47433300811047,6.59848984070226,3.3071450089029,3.71112584234156,3.3071450089029,3.71112584234156,3.71112584234156,3.3071450089029,3.3071450089029,5.89613243441248,4.10744808750053,3.3071450089029,3.3071450089029,"Tumor"
"TCGA-AR-A24U-01A-11R-A169-07",8.76899217313232,4.75718499397541,11.3006447203186,7.17110786096224,10.6335380673216,13.2577389995086,8.8674534951251,3.74193138907,3.3071450089029,7.55967014429434,7.01735071010151,3.91974278497023,14.981961415751,4.81162523047522,9.39778505169921,3.3071450089029,3.3071450089029,3.3071450089029,3.74193138907,4.16721915512541,5.09324372665409,9.03382343072693,3.91974278497023,3.74193138907,3.3071450089029,3.91974278497023,3.3071450089029,3.74193138907,3.3071450089029,5.92497077714245,4.26533167498028,3.74193138907,3.91974278497023,"Tumor"
"TCGA-D8-A1JU-01A-11R-A13Q-07",8.65490388675095,6.9031869568876,12.2387436771652,7.7436411920005,12.6250861360351,13.4929377045232,11.1794570059574,3.3071450089029,4.11959655633861,10.0175290929244,7.57056117041705,7.68257391317951,15.7512271967212,6.00440934203973,8.81840308011228,4.11959655633861,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,8.45063585785875,12.542153386845,4.01302109186637,3.71737651653066,3.3071450089029,4.82967820296851,3.88537835546331,4.50710076956428,5.88834746599991,6.30349900725928,4.87526404698433,3.71737651653066,4.82967820296851,"Tumor"
"TCGA-A8-A0AD-01A-11R-A056-07",6.49569717915859,4.01410559360063,10.729327797137,5.54842131081383,12.1096531451891,14.6084168563819,7.00162956114365,3.3071450089029,3.3071450089029,7.26427022716847,3.3071450089029,4.01410559360063,15.1271505772004,4.40917630230496,7.63469159813016,3.80951630065161,3.3071450089029,3.3071450089029,3.80951630065161,4.01410559360063,6.90211567525132,7.43630470961408,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,5.66088287341944,4.01410559360063,3.3071450089029,3.3071450089029,"Tumor"
"TCGA-E2-A3DX-01A-21R-A213-07",8.76836991692723,5.03228620127,12.5332471198112,7.59061157504375,12.4964784807559,12.584143342564,9.04285421489375,3.3071450089029,4.02674125322756,8.46711716525673,5.58254128767413,4.90355891363727,15.8788143758362,6.00817780388618,7.65216004268553,3.89669189773156,3.3071450089029,3.3071450089029,3.72545732657591,3.89669189773156,7.07373962841003,11.6506251659972,3.72545732657591,3.3071450089029,3.3071450089029,3.3071450089029,3.89669189773156,3.89669189773156,4.31478349378374,5.77828454366521,4.46327494974661,3.3071450089029,4.02674125322756,"Tumor"
